,gammaTuple,power,harmonic,a1,b1,a2,b2,V1,I1,V2,I2,Pin,Pout,Gain,Pdc1,Pdc2,PAE,Load Gamma,r,x
0,"(1,)",1,1,(0.070879+5.2445e-09j),(-0.028818-0.047308j),(1.8401e-08+2.8248e-08j),(-0.049357+0.23324j),-0.3,1.3921e-10,3.0,0.036193,0.000977654326500013,0.028418505524499434,29.068050694602086,-4.1763e-11,0.10857900000000001,0.2527270576999182,(9.99409585085833e-08-1.000419563072721e-07j),9.99409585085833e-08,-1.000419563072721e-07
1,"(1,)",1,2,(2.8445e-10+1.2761e-11j),(0.0013612+0.0014872j),(9.9831e-10-3.6308e-10j),(0.0068058+0.0031798j),,,,,-2.0323146399999587e-06,2.821502083999943e-05,-13.883195192649897,,,,(9.994280078653312e-08-1.0004380351186018e-07j),9.994280078653312e-08,-1.0004380351186018e-07
2,"(1,)",1,3,(-7.9053e-13+6.7506e-11j),(-0.00034159+0.00033343j),(5.0075e-11+2.2616e-10j),(-0.0008812+0.0013808j),,,,,-1.1392964649999774e-07,1.341561039999973e-06,-11.775346287939195,,,,(9.994164633761278e-08-1.0004604486725405e-07j),9.994164633761278e-08,-1.0004604486725405e-07
3,"(1,)",2,1,(0.079527+5.7907e-09j),(-0.031885-0.053551j),(2.0283e-08+3.1392e-08j),(-0.055683+0.25836j),-0.3,9.2747e-10,3.0,0.036991,0.0012200904515000167,0.03492524304449929,28.62512611385584,-2.7824099999999997e-10,0.11097300000000002,0.30372390214736256,(9.994230852030342e-08-1.0004678574599806e-07j),9.994230852030342e-08,-1.0004678574599806e-07
4,"(1,)",2,2,(3.5611e-10+2.6201e-11j),(0.0016465+0.0019119j),(1.2626e-09-4.1639e-10j),(0.0083931+0.0042354j),,,,,-3.1831619299999365e-06,4.4191370384999124e-05,-13.882853388171807,,,,(9.994654812739633e-08-1.000468968484558e-07j),9.994654812739633e-08,-1.000468968484558e-07
5,"(1,)",2,3,(5.2808e-12+1.0669e-10j),(-0.00050664+0.00056036j),(1.0141e-10+3.5229e-10j),(-0.0012556+0.002268j),,,,,-2.8534370959999435e-07,3.3601776799999326e-06,-11.775895409470765,,,,(9.994461423837563e-08-1.0004429349105135e-07j),9.994461423837563e-08,-1.0004429349105135e-07
6,"(1,)",3,1,(0.089231+6.3161e-09j),(-0.034975-0.060943j),(2.2096e-08+3.4686e-08j),(-0.0631+0.28389j),-0.3,4.6926e-09,3.0,0.037924,0.0015124357435000206,0.04228757104999915,27.959912499911486,-1.40778e-09,0.113772,0.3583934123202469,(9.994368002368393e-08-1.0004736415334976e-07j),9.994368002368393e-08,-1.0004736415334976e-07
7,"(1,)",3,2,(4.3551e-10+5.7129e-11j),(0.0018912+0.0024626j),(1.58e-09-4.2455e-10j),(0.01002+0.0057826j),,,,,-4.8205180999999024e-06,6.691943137999866e-05,-13.882207263157047,,,,(9.994553819533667e-08-1.0004940810063411e-07j),9.994553819533667e-08,-1.0004940810063411e-07
8,"(1,)",3,3,(2.0898e-11+1.7769e-10j),(-0.00078415+0.0009944j),(2.0936e-10+5.7778e-10j),(-0.0018442+0.003935j),,,,,-8.018612912499842e-07,9.442649319999812e-06,-11.77591364371774,,,,(9.994348641129035e-08-1.000446703023384e-07j),9.994348641129035e-08,-1.000446703023384e-07
9,"(1,)",4,1,(0.10012+6.8017e-09j),(-0.03779-0.06991j),(2.361e-08+3.7943e-08j),(-0.071824+0.30775j),-0.3,1.4766e-08,3.0,0.039001,0.0018542611000000224,0.049934374737999006,26.929527205202334,-4.4298e-09,0.117003,0.4109306055229266,(9.994311195814696e-08-1.0004326262642387e-07j),9.994311195814696e-08,-1.0004326262642387e-07
10,"(1,)",4,2,(5.1914e-10+1.131e-10j),(0.0020265+0.0031583j),(1.9459e-09-3.5026e-10j),(0.011478+0.0079847j),,,,,-7.040780569999859e-06,9.774995904499805e-05,-13.88339802287007,,,,(9.994029342255465e-08-1.0003948953572679e-07j),9.994029342255465e-08,-1.0003948953572679e-07
11,"(1,)",4,3,(4.7847e-11+3.0935e-10j),(-0.0013074+0.001787j),(4.0228e-10+9.9637e-10j),(-0.0029742+0.0069922j),,,,,-2.4513318799999515e-06,2.886836323999942e-05,-11.776603354091733,,,,(9.99425753726937e-08-1.0004422180050138e-07j),9.99425753726937e-08,-1.0004422180050138e-07
12,"(1,)",5,1,(0.11233+7.162e-09j),(-0.040025-0.080789j),(2.467e-08+4.0968e-08j),(-0.081661+0.32817j),-0.3,3.3322e-08,3.0,0.040244,0.002244582877000025,0.05718203391049886,25.47557254242487,-9.9966e-09,0.120732,0.45503637008828507,(9.994303200101105e-08-1.0004402576784764e-07j),9.994303200101105e-08,-1.0004402576784764e-07
13,"(1,)",5,2,(5.9432e-10+1.9298e-10j),(0.0020036+0.0039351j),(2.3195e-09-1.8251e-10j),(0.012505+0.010692j),,,,,-9.749712484999805e-06,0.00013534694449999728,-13.882147264161091,,,,(9.994296760796104e-08-1.0004799757411591e-07j),9.994296760796104e-08,-1.0004799757411591e-07
14,"(1,)",5,3,(7.106e-11+5.1964e-10j),(-0.0022436+0.0029552j),(6.4442e-10+1.6813e-09j),(-0.0051906+0.011627j),,,,,-6.883473999999863e-06,8.106472867999836e-05,-11.776717494683641,,,,(9.994203960123584e-08-1.0004121017925301e-07j),9.994203960123584e-08,-1.0004121017925301e-07
15,"(1,)",6,1,(0.12604+7.4028e-09j),(-0.041615-0.093607j),(2.5369e-08+4.3728e-08j),(-0.091976+0.34546j),-0.3,6.0343e-08,3.0,0.041528,0.0026960014630000315,0.06390109808799872,23.702174855977805,-1.8102899999999998e-08,0.124584,0.4912757386582442,(9.994300660068495e-08-1.0004445659440919e-07j),9.994300660068495e-08,-1.0004445659440919e-07
16,"(1,)",6,2,(6.2983e-10+2.8902e-10j),(0.0017062+0.0045953j),(2.581e-09+9.5374e-11j),(0.012422+0.013389j),,,,,-1.2013950264999759e-05,0.00016678570249999667,-13.882669631644262,,,,(9.994305263066538e-08-1.0004536561519714e-07j),9.994305263066538e-08,-1.0004536561519714e-07
17,"(1,)",6,3,(6.1997e-11+7.861e-10j),(-0.0036223+0.0042418j),(8.2214e-10+2.579e-09j),(-0.0087936+0.017002j),,,,,-1.5556962264999692e-05,0.00018319770247999633,-11.775930246495328,,,,(9.994281369330411e-08-1.0004688427793431e-07j),9.994281369330411e-08,-1.0004688427793431e-07
18,"(1,)",7,1,(0.14142+7.5621e-09j),(-0.042533-0.10839j),(2.5818e-08+4.6219e-08j),(-0.10219+0.36015j),-0.3,1.0802e-07,3.0,0.042786,0.003221084105500027,0.0700754092999986,21.755224950613453,-3.2406e-08,0.128358,0.5208426837010438,(9.994541287681069e-08-1.0004559695094066e-07j),9.994541287681069e-08,-1.0004559695094066e-07
19,"(1,)",7,2,(6.1956e-10+3.9058e-10j),(0.0011459+0.005051j),(2.6899e-09+4.6007e-10j),(0.011142+0.015756j),,,,,-1.3412843904999732e-05,0.00018619784999999628,-13.882055984457534,,,,(9.994671990036405e-08-1.0004402429995834e-07j),9.994671990036405e-08,-1.0004402429995834e-07
20,"(1,)",7,3,(-1.0001e-13+1.0819e-09j),(-0.0054083+0.0054083j),(8.4612e-10+3.6139e-09j),(-0.013851+0.022295j),,,,,-2.9249708889999423e-05,0.00034445861299999307,-11.776480042772825,,,,(9.994276493820754e-08-1.0004158946665677e-07j),9.994276493820754e-08,-1.0004158946665677e-07
21,"(1,)",8,1,(0.15868+7.6162e-09j),(-0.042739-0.12526j),(2.6083e-08+4.8429e-08j),(-0.11192+0.37253j),-0.3,1.8024e-07,3.0,0.044002,0.003831326339500023,0.07565234364999848,19.745732142428487,-5.4071999999999996e-08,0.132006,0.544073885357472,(9.994433272259901e-08-1.0004233140502316e-07j),9.994433272259901e-08,-1.0004233140502316e-07
22,"(1,)",8,2,(5.6334e-10+4.9204e-10j),(0.00035409+0.0052749j),(2.6392e-09+8.9084e-10j),(0.0087334+0.017656j),,,,,-1.3974974869049722e-05,0.00019400330577999612,-13.882193535077754,,,,(9.994123596010818e-08-1.0004379303726728e-07j),9.994123596010818e-08,-1.0004379303726728e-07
23,"(1,)",8,3,(-1.1532e-10+1.3771e-09j),(-0.0074661+0.0063022j),(6.8815e-10+4.6912e-09j),(-0.02003+0.026889j),,,,,-4.773018702499905e-05,0.0005621096104999888,-11.776815586445943,,,,(9.99431696249214e-08-1.0004134358240083e-07j),9.99431696249214e-08,-1.0004134358240083e-07
24,"(1,)",9,1,(0.17804+7.5769e-09j),(-0.042188-0.14438j),(2.6194e-08+5.0352e-08j),(-0.12099+0.3827j),-0.3,2.7834e-07,3.0,0.045169,0.0045364149280000335,0.08054893504999838,17.756077503587164,-8.350199999999999e-08,0.135507,0.5609490293637847,(9.994234144750495e-08-1.0004187063426606e-07j),9.994234144750495e-08,-1.0004187063426606e-07
25,"(1,)",9,2,(4.6245e-10+5.824e-10j),(-0.00059919+0.0052248j),(2.4226e-09+1.3451e-09j),(0.0053786+0.018843j),,,,,-1.382878184804972e-05,0.00019199399347999614,-13.883651907277223,,,,(9.994040689610849e-08-1.0004036127307704e-07j),9.994040689610849e-08,-1.0004036127307704e-07
26,"(1,)",9,3,(-2.7961e-10+1.6561e-09j),(-0.0096795+0.0068919j),(3.6497e-10+5.7548e-09j),(-0.026967+0.030587j),,,,,-7.05955029299986e-05,0.0008313918289999835,-11.776838389045526,,,,(9.994079555116724e-08-1.0004490252814357e-07j),9.994079555116724e-08,-1.0004490252814357e-07
27,"(2,)",1,1,(0.070879+4.0094e-09j),(-0.020018-0.050857j),(0.03343-0.030815j),(-0.067718+0.21701j),-0.3,1.1513e-09,3.0,0.037435,0.0010183389340000077,0.0248059692495,24.359246633203767,-3.4539e-10,0.11230500000000002,0.21181274489559673,(-0.1732031226864303-0.10000014256449156j),-0.1732031226864303,-0.10000014256449156
28,"(2,)",1,2,(3.999e-10+4.4934e-11j),(0.0017741+0.0022254j),(1.4409e-09-4.1536e-10j),(0.0092792+0.0051327j),,,,,-4.049917984999919e-06,5.622408096499887e-05,-13.882770261827906,,,,(9.99436612845309e-08-1.0004535199964564e-07j),9.99436612845309e-08,-1.0004535199964564e-07
29,"(2,)",1,3,(-2.5171e-11+9.2018e-11j),(-0.00058608+0.00033408j),(-1.2222e-11+3.2714e-10j),(-0.0016977+0.0015738j),,,,,-2.2754960639999545e-07,2.679515864999946e-06,-11.775524059970422,,,,(9.99438421686673e-08-1.0004616904927339e-07j),9.99438421686673e-08,-1.0004616904927339e-07
30,"(2,)",2,1,(0.079527+4.408e-09j),(-0.022027-0.057451j),(0.037084-0.034001j),(-0.075578+0.23994j),-0.3,4.8705e-09,3.0,0.038694,0.0012693687995000097,0.0303759733135,23.92998262243783,-1.4611499999999999e-09,0.11608199999999999,0.2507417559483813,(-0.1732043886049666-0.09999816086527395j),-0.1732043886049666,-0.09999816086527395
31,"(2,)",2,2,(5.1855e-10+5.8336e-11j),(0.0023016+0.0028855j),(1.8686e-09-5.3917e-10j),(0.012036+0.0066536j),,,,,-6.811736404999863e-06,9.45678444799981e-05,-13.883074572672047,,,,(9.994437428463211e-08-1.0004651784149452e-07j),9.994437428463211e-08,-1.0004651784149452e-07
32,"(2,)",2,3,(-3.4824e-11+1.3701e-10j),(-0.00085947+0.00051121j),(-9.1431e-12+4.8519e-10j),(-0.0024731+0.0023792j),,,,,-5.0001217249999e-07,5.888408124999883e-06,-11.776529550388098,,,,(9.994007069695087e-08-1.0004147984222815e-07j),9.994007069695087e-08,-1.0004147984222815e-07
33,"(2,)",3,1,(0.089231+4.8152e-09j),(-0.024047-0.065071j),(0.040959-0.037249j),(-0.084233+0.26369j),-0.3,1.324e-08,3.0,0.040351,0.001574839055500011,0.03678124335349999,23.35555701710862,-3.972e-09,0.121053,0.2908346286172171,(-0.17320503010341995-0.10000159543137258j),-0.17320503010341995,-0.10000159543137258
34,"(2,)",3,2,(6.7839e-10+7.6597e-11j),(0.0030071+0.0037736j),(2.443e-09-7.037e-10j),(0.01573+0.0087053j),,,,,-1.1641353684999766e-05,0.0001616075740449968,-13.882197759632803,,,,(9.994107819787365e-08-1.0004558601627141e-07j),9.994107819787365e-08,-1.0004558601627141e-07
35,"(2,)",3,3,(-4.6939e-11+2.0774e-10j),(-0.0012736+0.00080378j),(5.5229e-12+7.3082e-10j),(-0.0036286+0.0036801j),,,,,-1.1340596241999772e-06,1.3354936984999732e-05,-11.776221196853717,,,,(9.99424516213844e-08-1.0004458573227778e-07j),9.99424516213844e-08,-1.0004458573227778e-07
36,"(2,)",4,1,(0.10012+5.2128e-09j),(-0.026008-0.073917j),(0.045012-0.040461j),(-0.093753+0.28773j),-0.3,2.7132e-08,3.0,0.042451,0.0019419377235000133,0.043957502621999996,22.63589717118943,-8.1396e-09,0.127353,0.3299142140232266,(-0.17320560343274916-0.10000158155690919j),-0.17320560343274916,-0.10000158155690919
37,"(2,)",4,2,(8.7836e-10+1.0472e-10j),(0.0038674+0.0049111j),(3.1702e-09-8.9332e-10j),(0.020313+0.011395j),,,,,-1.9537842984999615e-05,0.00027123199699999464,-13.882392094574405,,,,(9.9945603394278e-08-1.0004431401948494e-07j),9.9945603394278e-08,-1.0004431401948494e-07
38,"(2,)",4,3,(-5.9852e-11+3.0813e-10j),(-0.0018406+0.001242j),(4.1115e-11+1.0768e-09j),(-0.0051815+0.0055872j),,,,,-2.4651861799999513e-06,2.903237304499942e-05,-11.77694945742394,,,,(9.994463040456568e-08-1.000461953109352e-07j),9.994463040456568e-08,-1.000461953109352e-07
39,"(2,)",5,1,(0.11233+5.611e-09j),(-0.027894-0.084143j),(0.049256-0.043625j),(-0.10422+0.31204j),-0.3,4.7078e-08,3.0,0.044847,0.0023799546075000157,0.051950737919499994,21.828457465443343,-1.4123399999999999e-08,0.134541,0.36844369606291,(-0.17320587592604209-0.10000154983652061j),-0.17320587592604209,-0.10000154983652061
40,"(2,)",5,2,(1.0884e-09+1.5307e-10j),(0.0046771+0.0062067j),(3.9641e-09-1.0265e-09j),(0.024947+0.014702j),,,,,-3.0199194649999396e-05,0.0004192508064999916,-13.882847253345545,,,,(9.994113118062659e-08-1.0004547683559435e-07j),9.994113118062659e-08,-1.0004547683559435e-07
41,"(2,)",5,3,(-6.9864e-11+4.3145e-10j),(-0.0025075+0.0018059j),(1.0298e-10+1.496e-09j),(-0.0069697+0.007992j),,,,,-4.774415529999906e-06,5.622439104499888e-05,-11.776183009567244,,,,(9.99414318690021e-08-1.0004276747965264e-07j),9.99414318690021e-08,-1.0004276747965264e-07
42,"(2,)",6,1,(0.12604+5.9604e-09j),(-0.029568-0.096027j),(0.05359-0.046573j),(-0.11562+0.33564j),-0.3,7.3738e-08,3.0,0.047381,0.0028953151235000217,0.0604906307855,20.89258965095844,-2.21214e-08,0.142143,0.4051927682826448,(-0.17320629666231652-0.09999966624926401j),-0.17320629666231652,-0.09999966624926401
43,"(2,)",6,2,(1.2801e-09+2.3431e-10j),(0.0052303+0.0075684j),(4.7384e-09-1.0214e-09j),(0.028792+0.018601j),,,,,-4.231835832499915e-05,0.0005874882324999884,-13.88258561421877,,,,(9.994153491406316e-08-1.000421120775385e-07j),9.994153491406316e-08,-1.000421120775385e-07
44,"(2,)",6,3,(-7.5916e-11+5.8783e-10j),(-0.0033186+0.0025559j),(2.047e-10+2.0224e-09j),(-0.0090947+0.011131j),,,,,-8.772865384999822e-06,0.00010330636454499794,-11.775669637155847,,,,(9.994374209637906e-08-1.0005016182229258e-07j),9.994374209637906e-08,-1.0005016182229258e-07
45,"(2,)",7,1,(0.14142+6.2562e-09j),(-0.03083-0.10984j),(0.057831-0.049144j),(-0.12756+0.35738j),-0.3,1.0873e-07,3.0,0.04986,0.003492150950000019,0.0691162303515,19.791879372081443,-3.2618999999999996e-08,0.14958,0.43872228507487615,(-0.17320408052063-0.09999744666402272j),-0.17320408052063,-0.09999744666402272
46,"(2,)",7,2,(1.4208e-09+3.515e-10j),(0.0053394+0.0088527j),(5.3856e-09-8.1567e-10j),(0.030997+0.022867j),,,,,-5.343974482499893e-05,0.000741856848999985,-13.882118101973925,,,,(9.994213675447243e-08-1.0004345069408398e-07j),9.994213675447243e-08,-1.0004345069408398e-07
47,"(2,)",7,3,(-8.8978e-11+7.938e-10j),(-0.0044119+0.0035203j),(3.2254e-10+2.72e-09j),(-0.011996+0.015208j),,,,,-1.5928686849999677e-05,0.00018759363999999623,-11.777093853784942,,,,(9.994094192105874e-08-1.0004152678097191e-07j),9.994094192105874e-08,-1.0004152678097191e-07
48,"(2,)",8,1,(0.15868+6.4215e-09j),(-0.031469-0.12583j),(0.061777-0.051253j),(-0.13937+0.37638j),-0.3,1.6491e-07,3.0,0.052205,0.004177927769500019,0.077321316781,18.507097548566094,-4.9473e-08,0.156615,0.4670267152667368,(-0.1732023994951568-0.09999941968850627j),-0.1732023994951568,-0.09999941968850627
49,"(2,)",8,2,(1.4854e-09+4.9169e-10j),(0.004971+0.0098946j),(5.8186e-09-4.2628e-10j),(0.031213+0.026979j),,,,,-6.130697507999877e-05,0.000851058904999983,-13.88192622274131,,,,(9.994334862167971e-08-1.0004330254907561e-07j),9.994334862167971e-08,-1.0004330254907561e-07
50,"(2,)",8,3,(-1.3295e-10+1.0487e-09j),(-0.0059034+0.0045696j),(3.7362e-10+3.6035e-09j),(-0.016161+0.019879j),,,,,-2.7865687859999437e-05,0.0003281762809999934,-11.777074466949838,,,,(9.994004362551723e-08-1.0004281125972048e-07j),9.994004362551723e-08,-1.0004281125972048e-07
51,"(2,)",9,1,(0.17804+6.4936e-09j),(-0.031359-0.14421j),(0.065319-0.052881j),(-0.15064+0.39228j),-0.3,2.4811e-07,3.0,0.054329,0.004959165309500021,0.08475651803900001,17.090883797851276,-7.4433e-08,0.162987,0.48959335854700065,(-0.17320480390518286-0.09999854272387901j),-0.17320480390518286,-0.09999854272387901
52,"(2,)",9,2,(1.4768e-09+6.2854e-10j),(0.0042477+0.010528j),(5.9809e-09+5.3586e-11j),(0.029623+0.03019j),,,,,-6.44408696449987e-05,0.0008944791144999821,-13.880618300585011,,,,(9.994082541543792e-08-1.0004481380319586e-07j),9.994082541543792e-08,-1.0004481380319586e-07
53,"(2,)",9,3,(-2.2702e-10+1.3387e-09j),(-0.0078198+0.0055467j),(2.8617e-10+4.6437e-09j),(-0.021802+0.02464j),,,,,-4.595757646499908e-05,0.000541228401999989,-11.776695892834649,,,,(9.994088379345623e-08-1.0004387777860925e-07j),9.994088379345623e-08,-1.0004387777860925e-07
54,"(3,)",1,1,(0.070879+4.0372e-09j),(-0.027083-0.057596j),(-0.011417-0.049118j),(-0.07336+0.24123j),-0.3,1.122e-09,3.0,0.037357,0.0004865222680000081,0.030515338343499995,62.72136004985384,-3.366e-10,0.112071,0.26794457152608603,(-0.17320371328650128+0.10000093026032307j),-0.17320371328650128,0.10000093026032307
55,"(3,)",1,2,(3.8526e-10-7.2372e-11j),(0.0022891+0.0015672j),(1.2242e-09-7.9872e-10j),(0.010114+0.0021327j),,,,,-3.848047324999924e-06,5.342070264499893e-05,-13.882548246726666,,,,(9.994373086928535e-08-1.0004646972759786e-07j),9.994373086928535e-08,-1.0004646972759786e-07
56,"(3,)",1,3,(1.5025e-11+9.8015e-11j),(-0.00041491+0.00056445j),(1.2657e-10+3.1551e-10j),(-0.00094591+0.00221j),,,,,-2.4537705529999504e-07,2.8894228640499425e-06,-11.775440293377752,,,,(9.994266995078462e-08-1.0004831263943288e-07j),9.994266995078462e-08,-1.0004831263943288e-07
57,"(3,)",2,1,(0.079527+4.4269e-09j),(-0.029821-0.065031j),(-0.012362-0.054372j),(-0.082401+0.26634j),-0.3,4.9001e-09,3.0,0.038566,0.0006031103635000096,0.03730889348650001,61.860806486538536,-1.47003e-09,0.11569800000000001,0.3172551221542291,(-0.17320636464875033+0.10000141793730448j),-0.17320636464875033,0.10000141793730448
58,"(3,)",2,2,(4.9518e-10-9.1298e-11j),(0.002934+0.0020186j),(1.5739e-09-1.0217e-09j),(0.012978+0.002768j),,,,,-6.341550979999873e-06,8.804515399999823e-05,-13.883851801818993,,,,(9.993740598148082e-08-1.0004058712873625e-07j),9.993740598148082e-08,-1.0004058712873625e-07
59,"(3,)",2,3,(2.3149e-11+1.4891e-10j),(-0.00062849+0.00086019j),(1.9386e-10+4.7926e-10j),(-0.0014288+0.0033651j),,,,,-5.674632580999886e-07,6.682683724999867e-06,-11.776416586644203,,,,(9.994268118681614e-08-1.0004401143494186e-07j),9.994268118681614e-08,-1.0004401143494186e-07
60,"(3,)",3,1,(0.089231+4.8042e-09j),(-0.032536-0.073625j),(-0.013146-0.059802j),(-0.092579+0.29182j),-0.3,1.3607e-08,3.0,0.040125,0.0007414697200000125,0.0449903435605,60.67724999005926,-4.0821e-09,0.12037500000000001,0.3675918906791276,(-0.17320402838205887+0.09999676425050588j),-0.17320402838205887,0.09999676425050588
61,"(3,)",3,2,(6.3692e-10-1.1568e-10j),(0.0037607+0.002607j),(2.027e-09-1.3056e-09j),(0.016662+0.0036154j),,,,,-1.046965674499979e-05,0.0001453466805799971,-13.882659586658683,,,,(9.994589365255115e-08-1.0004467554383828e-07j),9.994589365255115e-08,-1.0004467554383828e-07
62,"(3,)",3,3,(3.6479e-11+2.323e-10j),(-0.00097979+0.0013451j),(3.039e-10+7.4819e-10j),(-0.0022243+0.0052597j),,,,,-1.3846412270499722e-06,1.6305977289999673e-05,-11.776319360893321,,,,(9.994157709881123e-08-1.0004373822478199e-07j),9.994157709881123e-08,-1.0004373822478199e-07
63,"(3,)",4,1,(0.10012+5.1617e-09j),(-0.03506-0.083612j),(-0.013652-0.065215j),(-0.10392+0.31652j),-0.3,2.8357e-08,3.0,0.042037,0.0009019221280000128,0.05327245173550001,59.06546705271572,-8.5071e-09,0.126111,0.4152732878773461,(-0.17320593974443052+0.09999861385770636j),-0.17320593974443052,0.09999861385770636
64,"(3,)",4,2,(8.0272e-10-1.3948e-10j),(0.0047106+0.0033187j),(2.5648e-09-1.6246e-09j),(0.020946+0.0047119j),,,,,-1.6601761024999667e-05,0.00023046845880499536,-13.88216939503862,,,,(9.994284749172058e-08-1.0004395603438548e-07j),9.994284749172058e-08,-1.0004395603438548e-07
65,"(3,)",4,3,(5.2201e-11+3.6033e-10j),(-0.001539+0.0020639j),(4.5722e-10+1.1627e-09j),(-0.0035317+0.0080983j),,,,,-3.3141021049999336e-06,3.9027683889999214e-05,-11.776246673606936,,,,(9.994353697733611e-08-1.0004452657259648e-07j),9.994353697733611e-08,-1.0004452657259648e-07
66,"(3,)",5,1,(0.11233+5.4434e-09j),(-0.037262-0.095151j),(-0.013868-0.070479j),(-0.11615+0.33985j),-0.3,5.0057e-08,3.0,0.044105,0.0010879297275000156,0.0619146170675,56.91049293208978,-1.50171e-08,0.132315,0.4597111993349204,(-0.17320505466964992+0.10000225717192834j),-0.17320505466964992,0.10000225717192834
67,"(3,)",5,2,(9.5674e-10-1.505e-10j),(0.0055387+0.004031j),(3.0784e-09-1.8843e-09j),(0.024812+0.0059837j),,,,,-2.346307934499953e-05,0.0003257200048449935,-13.882236003877777,,,,(9.994193467021161e-08-1.000452424023112e-07j),9.994193467021161e-08,-1.000452424023112e-07
68,"(3,)",5,3,(5.6807e-11+5.3276e-10j),(-0.0023793+0.0029474j),(6.0648e-10+1.7353e-09j),(-0.0056504+0.011707j),,,,,-7.174117624999856e-06,8.449043457999832e-05,-11.777118664122824,,,,(9.994209754010238e-08-1.0004209686004907e-07j),9.994209754010238e-08,-1.0004209686004907e-07
69,"(3,)",6,1,(0.12604+5.6586e-09j),(-0.038959-0.1084j),(-0.013814-0.075401j),(-0.12868+0.36103j),-0.3,7.8789e-08,3.0,0.04615,0.0013088589595000207,0.0705125329515,53.87328591801483,-2.3636700000000002e-08,0.13845,0.49984596599494396,(-0.17320782225342057+0.09999828980298078j),-0.17320782225342057,0.09999828980298078
70,"(3,)",6,2,(1.0683e-09-1.4958e-10j),(0.0060836+0.0046034j),(3.4668e-09-2.0342e-09j),(0.027503+0.0071777j),,,,,-2.9100740259999416e-05,0.0004039671931449919,-13.88168099971901,,,,(9.99419314615195e-08-1.0004556599103184e-07j),9.99419314615195e-08,-1.0004556599103184e-07
71,"(3,)",6,3,(2.8186e-11+7.527e-10j),(-0.0036209+0.0039048j),(6.8355e-10+2.4922e-09j),(-0.0090519+0.015875j),,,,,-1.4179189924999716e-05,0.0001669762593049967,-11.776149426604146,,,,(9.994309638364433e-08-1.0004566388378646e-07j),9.994309638364433e-08,-1.0004566388378646e-07
72,"(3,)",7,1,(0.14142+5.8138e-09j),(-0.040009-0.12351j),(-0.013533-0.079845j),(-0.14101+0.37957j),-0.3,1.229e-07,3.0,0.0481,0.0015720881095000142,0.07869941944300002,50.06043806795888,-3.687e-08,0.14429999999999998,0.5344929406340957,(-0.17320665060129561+0.09999965698366228j),-0.17320665060129561,0.09999965698366228
73,"(3,)",7,2,(1.128e-09-1.4573e-10j),(0.0063608+0.0049108j),(3.6723e-09-2.1071e-09j),(0.028895+0.0078413j),,,,,-3.228786663999936e-05,0.00044820350534499105,-13.881484036784908,,,,(9.994199532312897e-08-1.0004413109282752e-07j),9.994199532312897e-08,-1.0004413109282752e-07
74,"(3,)",7,3,(-5.0809e-11+1.0078e-09j),(-0.0052981+0.004787j),(6.1811e-10+3.4095e-09j),(-0.013968+0.020132j),,,,,-2.5492616304999492e-05,0.000300201223999994,-11.776006840895336,,,,(9.994345246240567e-08-1.0004570554315928e-07j),9.994345246240567e-08,-1.0004570554315928e-07
75,"(3,)",8,1,(0.15868+5.8159e-09j),(-0.040325-0.1406j),(-0.013134-0.083753j),(-0.15251+0.3955j),-0.3,1.9296e-07,3.0,0.04989,0.0018924383875000127,0.08624624156750002,45.57413448024312,-5.7887999999999995e-08,0.14967,0.5635986047972206,(-0.1732041578614794+0.09999839725778564j),-0.1732041578614794,0.09999839725778564
76,"(3,)",8,2,(1.1327e-09-1.5088e-10j),(0.0064061+0.0049142j),(3.683e-09-2.1283e-09j),(0.029054+0.0077885j),,,,,-3.2593739424999336e-05,0.00045239782412499096,-13.879899394974075,,,,(9.994479706539637e-08-1.0004543443050319e-07j),9.994479706539637e-08,-1.0004543443050319e-07
77,"(3,)",8,3,(-1.8879e-10+1.2789e-09j),(-0.0073482+0.0054532j),(3.6826e-10+4.4254e-09j),(-0.020299+0.02396j),,,,,-4.186671673999916e-05,0.0004930655004999901,-11.777028123844229,,,,(9.99433890224084e-08-1.0004218922228163e-07j),9.99433890224084e-08,-1.0004218922228163e-07
78,"(3,)",9,1,(0.17804+5.8106e-09j),(-0.039778-0.15983j),(-0.01271-0.08702j),(-0.16251+0.40859j),-0.3,2.911e-07,3.0,0.05147,0.002285161708000019,0.09281063185,40.614470094209736,-8.733e-08,0.15441,0.5862668877792889,(-0.17320446733972492+0.09999622601477934j),-0.17320446733972492,0.09999622601477934
79,"(3,)",9,2,(1.0853e-09-1.5851e-10j),(0.006215+0.0046309j),(3.5064e-09-2.0921e-09j),(0.027991+0.0070859j),,,,,-3.0035729904999397e-05,0.00041685302990499164,-13.878571661932781,,,,(9.99431754508168e-08-1.0004241888203147e-07j),9.99431754508168e-08,-1.0004241888203147e-07
80,"(3,)",9,3,(-3.871e-10+1.5486e-09j),(-0.009682+0.0058176j),(-7.8664e-11+5.4809e-09j),(-0.027814+0.026999j),,,,,-6.379279687999872e-05,0.0007512822984999849,-11.77691424806518,,,,(9.994031530878669e-08-1.000435545760433e-07j),9.994031530878669e-08,-1.000435545760433e-07
